,Census Tract,Total Population,California County,County,countytrim,ZIP,Longitude,Latitude,Ozone,PM2.5,Diesel PM,Drinking Water,Pesticides,Tox. Release,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
1037,6019008200,6978,Fresno ,Fresno County,Fresno,93608,-120.2392392,36.5557643,0.057,13.75,2.705,688.34,2479.12,406.6635356,117.9,5,22.5,0.01,4,1,48.09,4.56,11.91,63.4,34,76,9.9,20.7
1038,6071004301,4677,San Bernardino,San Bernardino County,San Bernardino,92410,-117.3460354,34.111535,0.065,12.89,13.2,735.46,0,1600.662394,403.39,0.25,0,0.1,1,0.2,82.24,7.53,11.75,40.7,13.4,60.5,19,32.2
1039,6037221302,4403,Los Angeles,Los Angeles County,Los Angeles,90019,-118.3114921,34.0417457,0.046,12.89,29.76,664.07,0,2824.213004,1149.88,9.1,0,0,0,0,55.48,7.31,7.03,47.4,30.6,82.8,20.8,30.8
1040,6095250701,2962,Solano ,Solano County,Solano,94590,-122.2449025,38.0900421,0.035,7.85958451,9.189,166.14,0.59,1704.655465,692.63,14.55,59.55,1.235,12,0.5,166.21,7.67,13.17,20.9,9.7,52,15.2,20.7
1041,6037120400,6272,Los Angeles,Los Angeles County,Los Angeles,91402,-118.4323396,34.2188821,0.055,11.21,18.142,618.05,0,881.2688501,1249.86,1,3.5,5.035,4,0.5,84.58,4.23,9.36,27.9,20.3,54.6,14.5,30.9
1042,6067002000,2376,Sacramento ,Sacramento County,Sacramento,95818,-121.4903061,38.5652846,0.046,9.53630303,29.862,80.01,0,450.0573237,1199.16,42.6,100.1,0.1,16,0.5,62.83,5.93,8.78,16.7,15.4,54,12.6,26.6
1043,6029004301,7416,Kern ,Kern County,Kern,93280,-119.3509151,35.5738555,0.062,18.76,4.317,769.19,1692.14,590.6523295,230.62,8.3,21,0,0,10,37.84,5.48,9.41,48.2,20.9,60.6,16.1,13.3
1044,6081611900,10325,San Mateo,San Mateo County,San Mateo,94303,-122.1238259,37.4667198,0.033,9.53630303,15.11,574.37,0,170.4151511,1708.38,20.1,104,0.27,12,6.75,69.6,5.61,7.72,35.4,14.6,45.6,11.8,24.3
1045,6037302201,3856,Los Angeles,Los Angeles County,Los Angeles,91205,-118.2484454,34.1444791,0.051,12.05,23.307,904.35,0,2124.9602,929.87,12,0,0.525,0,1.7,34.92,5.26,8.76,32.1,47.9,60.6,11.9,32.3
1046,6037408202,2037,Los Angeles,Los Angeles County,Los Angeles,91745,-117.9657288,34.0213468,0.05,11.63,22.332,807.99,0,23390.07067,1405,45,172.35,13.12,6,12.5,43.15,3.98,8.14,29.6,8.1,43.8,8.7,19.6
